il,enlem,boylam
Adana,36.98542,35.32502
Adıyaman,37.762990,38.277298
Afyonkarahisar,38.756217,30.537846
Ağrı,39.718993,43.047663
Amasya,40.656314,35.837068
Ankara,39.942928,32.860481
Antalya,36.896126,30.713081
Artvin,41.181310,41.820537
Aydın,37.838044,27.845571
Balıkesir,39.644878,27.885361
Bilecik,40.142960,29.979159
Bingöl,38.88472,40.496391
Bitlis,38.400664,42.108971
Bolu,40.732006,31.607052
Burdur,37.718293,30.282248
Bursa,40.182816,29.066148
Çanakkale,40.146777,26.408220
Çankırı,40.600190,33.616304
Çorum,40.549853,34.953694
Denizli,37.783026,29.096246
Diyarbakır,37.9137,40.224899
Edirne,41.675907,26.553608
Elazığ,38.6763,39.221802
Erzincan,39.75,39.5
Erzurum,39.905994,41.273784
Eskişehir,39.766724,30.525608
Gaziantep,37.062931,37.378159
Giresun,40.917921,38.389876
Gümüşhane,40.458673,39.478961
Hakkari,37.578120,43.733805
Hatay,36.202621,36.160045
Isparta,37.762627,30.553612
Mersin,36.810307,34.620414
İstanbul,41.046419,29.033115
İzmir,38.423652,27.142797
Kars,40.601469,43.097496
Kastamonu,41.378133,33.776539
Kayseri,38.722100,35.489122
Kırklareli,41.735547,27.224502
Kırşehir,39.146209,34.160577
Kocaeli,40.765600,29.940659
Konya,37.872817,32.491991
Kütahya,39.419993,29.985721
Malatya,38.355390,38.333476
Manisa,38.614027,27.429533
Kahramanmaraş,37.582047,36.926934
Mardin,37.313051,40.732555
Muğla,37.215266,28.363718
Muş,38.732415,41.489878
Nevşehir,38.623861,34.712756
Niğde,37.969110,34.678619
Ordu,40.985592,37.879123
Rize,41.025113,40.516397
Sakarya,40.773626,30.403235
Samsun,41.28157,36.33812
Siirt,37.927462,41.942270
Sinop,42.026596,35.151245
Sivas,39.750528,37.015028
Tekirdağ,40.978127,27.511091
Tokat,40.323397,36.552149
Trabzon,41.001289,39.716549
Tunceli,39.108101,39.548199
Şanlıurfa,37.1586,38.797901
Uşak,38.678883,29.404976
Van,38.501287,43.372931
Yozgat,39.820954,34.808617
Zonguldak,41.452650,31.790032
Aksaray,38.370386,34.026986
Bayburt,40.250858,40.202831
Karaman,37.181200,33.222315
Kırıkkale,39.849998,33.5
Batman,37.882999,41.130901
Şırnak,37.522781,42.459438
Bartın,41.633178,32.338396
Ardahan,41.112875,42.702389
Iğdır,39.895802,44.040821
Yalova,40.657659,29.268905
Karabük,41.200069,32.629601
Kilis,36.717999,37.116901
Osmaniye,37.074695,36.246347
Düzce,40.839377,31.159454
